id,section,area,goal,comparison,why,result,outcome,reason,scope,batches,sources,original_question,register_page
MT029,2,Step-size granularity,Recover weightwise accuracy by tuning,wm9 weightwise meta-step ladder versus registered 92.2–92.9 band,Test whether mistuning explained the finest-partition deficit,wm9 peaks at 91.015%; every run misses the registered recovery band.,fail,The measured interior plateau stays below the recovery band.,"10 completed runs, n=2 at five steps; tw0 later closes 100-epoch guard caveat.","[""wm9"", ""tw0""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 29, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4835, ""section"": ""103""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4975, ""section"": ""104""}]","Does per-weight granularity fail STRUCTURALLY, or does it recover under tuning?",26
MT030,2,Step-size granularity,Establish a base-optimizer interaction,"Granularity under SGDm, AdamW, and Lion at two initializations",Test the proposed coordinate-normalization explanation,Interaction depends on initialization; bo7 completed but does not establish a universal mechanism.,mixed,AdamW reverses at proper initialization; Lion also contradicts the mechanism.,100-epoch accuracy census and separate 20-epoch bo7 field measurement; never conflate.,"[""bo6"", ""bo7"", ""bo""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 30, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4463, ""section"": ""101""}]",H4 — does granularity help under SGDm and do nothing under AdamW (the base-optimizer interaction)?,27
MT031,2,Step-size granularity,Explain catastrophic weightwise collapse,Lion versus Adam meta updates and beta guard,Separate runaway dynamics from residual partition weakness,Guarding removes catastrophic collapse; a sizable weightwise accuracy deficit remains.,success,The guard fixes collapse but not the measured accuracy loss.,R18/C10 a0=1e-6 ms=1e-3; not a universal claim across all tuning.,"[""g1"", ""d2"", ""d3"", ""d4""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 31, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 48, ""section"": ""4""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4835, ""section"": ""103""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4975, ""section"": ""104""}]",Why does per-weight granularity collapse to 10% accuracy — numerics or the method?,27
MT033,2,Step-size granularity,Flatten the fully tuned granularity ladder,Best observed meta step for all five partition scales,Include the previously missing weightwise rung,Completed wm9/tw0 refute a flat ladder; the weightwise rung stays lower.,fail,The finest partition fails to recover through the tested tuning.,The MASTER OPEN token predates wm9 and tw0; coarse rankings retain batch caveats.,"[""ms"", ""rs"", ""hz9"", ""wm9"", ""tw0"", ""at1""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 33, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4667, ""section"": ""102""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4835, ""section"": ""103""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4975, ""section"": ""104""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",**Is the granularity ladder flat once EVERY rung sits at its own optimal ms?**,27
MT034,2,Step-size granularity,Validate shared-step attribution to partition choice,Nodewise minus layerwise at common versus individually tuned steps,Expose a tuning-induced change of sign,The contrast changes from +1.138 to −0.360 pp after tuning.,fail,A single shared meta step confounds the attribution.,"Shared control crosses batches, n=2 versus 2; use Welch, not paired inference.","[""hz9"", ""rs""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 34, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4667, ""section"": ""102""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",Does a granularity contrast at a SHARED meta-stepsize measure the partition?,27
MT039,3,Training duration,Establish an optimal-granularity reversal over time,Layerwise versus nodewise through epochs 10–40,Connect partition preference to training horizon,The reversal holds at shared ms=1e-3; tuning reverses the trajectory.,mixed,The observation is real but the optimum interpretation does not survive.,"br6+bl5, seven within-batch differences, two ceilings; no independent budget randomization.","[""br6"", ""bl5"", ""hz9"", ""rs""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 39, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 2751, ""section"": ""86""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4667, ""section"": ""102""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",Does the accuracy-OPTIMAL granularity reverse as the training horizon grows?,28
MT040,3,Training duration,Generalize reversal shape and crossing time,Forty-one observed configuration cells across models and datasets,Check whether the crossing is universal,Rising differences occur in 24/29 eligible cells; crossing time does not generalize.,mixed,The direction is common within a stratum; timing varies.,27/41 all cells versus 24/29 adapting eligible cells; these are not new jobs.,"[""br6"", ""bl5"", ""fz"", ""fz3"", ""ff5"", ""p6f"", ""p7"", ""uc5"", ""p4""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 40, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]","Is the U-in-training-time shape general, and is the CROSSING EPOCH general?",28
MT041,3,Training duration,Preserve the reversal after meta-step tuning,Layerwise at 1e-4 versus nodewise at 3e-4,Test the main reversal’s tuning explanation,Nodewise starts ahead and declines to −0.360 pp; original reversal fails.,fail,"Registered T-B confirms the counterprediction, not the original headline.",hz9 plus licensed rs controls; n=5 versus 5 unpaired; ±0.50 endpoint materiality bar.,"[""hz9"", ""rs""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 41, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4667, ""section"": ""102""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",Does the reversal survive letting EACH ARM sit at its own optimal meta-stepsize?,28
MT047,4,Initial-rate robustness,Measure fixed-step fragility,Constant AdamW across seven learning-rate cells,Provide a meaningful robustness denominator,Small fixed rates undertrain; lr=0.1 collapses in all three runs.,success,Fixed-step performance is strongly sensitive to the chosen rate.,"Seven points spanning five decades; small rate trains weakly, not literally zero learning.","[""i3a""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 47, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1234, ""section"": ""41""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1121, ""section"": ""44""}]",Does a genuinely FIXED learning rate collapse at small initial step sizes (does the robustness claim have a denominator)?,29
MT048,4,Initial-rate robustness,Test robustness across initial learning rates,MetaOptimize across the same seven initializations,Evaluate the paper’s low-initialization robustness claim,Low-alpha0 accuracy stays near 91.6%; the highest-rate cell is not robust.,mixed,The low-end advantage holds; whole-grid flatness does not.,"R18/C10 AdamW/Adam six-block, augmented, n=3 per cell; guard caveat.","[""i3b""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 48, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1121, ""section"": ""44""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]","Is MetaOptimize flat over several decades of alpha0 (the parent paper's own claim, never tested here before)?",29
MT049,4,Initial-rate robustness,Improve robustness over scheduled training,Equal-weight grid means for meta and cosine,Avoid unstable threshold-width comparisons,Primary grid-mean advantage is 3.159 pp; six-cell sensitivity gives 4.680 pp.,success,The advantage survives both stated grid reductions.,Chosen grid conditional; cosine account/batch composition differs; legacy +5.094/+4.941 uses last20.,"[""i3a"", ""i3b"", ""i3c"", ""SW""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 49, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1121, ""section"": ""44""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1398, ""section"": ""46""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1576, ""section"": ""52""}]","Against a TUNED SCHEDULE (not a constant LR), is MetaOptimize still more robust?",29
MT050,4,Initial-rate robustness,Test robustness at a longer budget,100 versus 300 epochs at four grid extremes,Check whether startup delay creates the robustness shape,The registered band comparison was stable on the matched extreme cells.,success,The selected long-budget follow-up did not reverse the registered reading.,"Only constant and meta arms, four alpha0 extremes, n=2 at 300; not full three-arm grid.","[""i3a"", ""i3b"", ""i3a300"", ""i3b300""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 50, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1285, ""section"": ""42""}]",Is that robustness shape an artefact of a 100-epoch budget (arm B pays a startup tax at small alpha0)?,29
MT051,4,Initial-rate robustness,Audit threshold-based robustness claims,Three reductions of the same robustness runs,Detect verdict sensitivity to arbitrary thresholds,Three threshold-width verdicts reversed and were withdrawn.,correction,Shared-grid truncation and tiny threshold crossings changed the apparent width.,No new training; retain grid-mean result with explicit chosen-grid sensitivity.,"[""i3a"", ""i3b"", ""i3c"", ""SW""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 51, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 692, ""section"": ""38""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1234, ""section"": ""41""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 935, ""section"": ""43""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 1121, ""section"": ""44""}]",Earlier width-based readings of Idea 3 ('MetaOptimize is/is not flatter on threshold X'),30
MT057,5,Model and dataset scope,Transfer the granularity gain across model sizes,Scalar and layerwise on R10/R18/R34/R50,Locate architecture dependence of the original premise,The gap shrinks with scale and reverses for R50 at small alpha0.,mixed,The gain is strongly model-dependent at the shared meta step.,sc matched first-three-seed comparison; R50 sc50 n=2; all C10 and shared ms.,"[""sc"", ""sc50""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 57, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",Does the granularity gain survive model scale?,31
MT058,5,Model and dataset scope,Reproduce the ResNet-50 layerwise deficit,R50 scalar versus layerwise at two initializations,Find a setting where layerwise loses,R50 layerwise loses 1.356 pp at 1e-6 but gains 1.130 at 1e-3.,mixed,Layerwise loses only at the smaller tested initialization.,sc50 n=2 per arm; later a2g3 completed and remained SPLIT/UNRESOLVED.,"[""sc50"", ""a2g3""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 58, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]",Is there ANY architecture where the parent paper's premise (layerwise loses to scalar) reproduces on CIFAR-10?,31
MT059,5,Model and dataset scope,Transfer granularity gains to CIFAR-100,"Scalar, six-block, layerwise at two initializations",Test dataset dependence of partition ordering,Large fixed-step gaps replicate; six-block/layerwise ordering changes relative to CIFAR-10.,success,The gap transfers while the partition ordering is dataset-dependent.,"c100+c100b n=5 each; shared ms=1e-3, not individually tuned target optima.","[""c100"", ""c100b""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 59, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]","Does granularity transfer to a second dataset (CIFAR-100), and does the ORDERING transfer?",31
MT060,5,Model and dataset scope,Audit the claimed cost of finer partitions,"Correct six-block, layerwise, nodewise, weightwise labels",Check a consequential ordering error,Six-block was mislabeled finer; nodewise beats layerwise and weightwise loses.,correction,The claimed 17.2-point cost compared a coarser partition.,C100 a0=1e-3; c100f node/weight n=3; layerwise controls cross batches.,"[""c100"", ""c100b"", ""c100f""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 60, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 4126, ""section"": ""97""}]",'Finer than layerwise costs 17.2 pp on CIFAR-100',31
MT061,5,Model and dataset scope,Separate startup delay from partition performance,Initialization ladders at 20 and 100 epochs,Check whether short runs exaggerate granularity effects,Startup effects are large; 100-epoch differences remain at the tested shared step.,mixed,The 20-epoch design also changes pooling and has one seed.,p2/p3 n=1; a0L 100-epoch n=2; explicitly separate shrink and plain arms.,"[""p2"", ""p3"", ""a0L"", ""a0h""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 61, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 76, ""section"": ""8""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 241, ""section"": ""12""}]",Is the granularity result an alpha0=1e-6 startup artefact?,32
MT062,5,Model and dataset scope,Erase the granularity gap with training time,"Windows at epochs 100, 205, 300 on identical trajectories",Test a pure acceleration explanation,Granularity remains near 3.4 pp; shrink benefits attenuate strongly.,fail,The longer shared-step trajectory does not erase the partition gap.,"e300 n=2; windows from the same 300-epoch runs, not independent budgets.","[""e300"", ""e3a""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 62, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 48, ""section"": ""4""}]",Is granularity a SPEED effect that a longer budget erases (the reading of the parent paper's ImageNet null)?,32
MT063,5,Model and dataset scope,Verify pooling inversion and scalar crossover,Reaudit horizon tables using matched primary windows,Check a previously promoted headline,Neither inversion nor scalar crossover survives the corrected stratification and metric.,correction,"Best-test selection, mixed initialization, and mislabeled operators created the headline.",No zpool 300-epoch runs; additive and shrink must keep their actual operator labels.,"[""e300"", ""e3a""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 63, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 7, ""section"": ""1""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 48, ""section"": ""4""}]","'Pooling gains INVERT between 100 and 300 epochs, and scalar overtakes plain layerwise' — once called the strongest result in the project",32
MT069,6,Proposed fixes,Beat the tuned baseline with a cosine prior,Idea-1 meta arms and their available controls,Combine adaptation with explicit annealing,Idea 1 missed its stopping-rule baseline; its exact schedule remains unidentified.,fail,Accuracy did not clear the registered baseline requirement.,"I1, n=3 per main arm, 100 epochs; no saved schedule specification.","[""I1""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 69, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 837, ""section"": ""29""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 935, ""section"": ""32""}]",IDEA 1 — put a cosine prior on the learned step size: alpha_t = cosine(t) * exp(beta_t),33
MT070,6,Proposed fixes,Choose partitions using tensor correlation,Measured adjacent versus random tensor sign agreement,Find a predictive partition-selection signal,The powered tensor-level correlation contrast was null; the direction was abandoned.,fail,The signal needed by the proposed partition rule was absent.,kt2 existing 100-epoch weightwise runs; coordinate-level null underpowered; zero additional training.,"[""kt2""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 70, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 935, ""section"": ""32""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 963, ""section"": ""33""}]",IDEA 2 — choose the partition from MEASURED meta-gradient correlation between tensors,33
MT071,6,Proposed fixes,Find a tunable shrinkage strength,Per-step M0 shrink across a lambda ladder,Implement partial hierarchical pooling,The operator saturates; the alleged tunable pooling interpretation was withdrawn.,correction,Per-step application turns most tested lambdas into near-full shrinkage.,Primary ladder available separately; historical best_test improvements are not primary evidence.,"[""h2"", ""lp"", ""a0L""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 71, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 39, ""section"": ""3""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 48, ""section"": ""4""}]","M0 SHRINK — pull each group's beta toward the group mean every step, with a tunable coefficient lambda",33
MT072,6,Proposed fixes,Close the weightwise deficit with pooling,"Shrink, additive, and zpool weightwise controls",Rescue the finest partition using shared information,zpool rescues weightwise accuracy but still misses the stronger coarse partitions.,fail,"A rescue exists, but it does not close the competitive deficit.",R18/C10 a0=1e-6; operator-specific directions differ and must remain separated.,"[""hs"", ""n1"", ""zsw"", ""zsx""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 72, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 39, ""section"": ""3""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 598, ""section"": ""21""}]",Does pooling CLOSE the per-weight deficit?,33
MT073,6,Proposed fixes,Find an interior additive optimum,Layerwise additive r curve against both endpoints,Test whether partial sharing improves accuracy,A local interior optimum exists; g4m preserves +0.821 pp after meta-step optimization.,success,The later joint sweep defeats the pure meta-step explanation.,Small-alpha0 R18/C10 setting; additive benefit is not proof of original two-level proposal.,"[""ad"", ""mx"", ""sc"", ""g4m""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 73, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]",M1 ADDITIVE — is there an INTERIOR pooling optimum (partial pooling beating both endpoints)?,34
MT074,6,Proposed fixes,Validate the additive pooling interpretation,Additive and true-pooling endpoint controls across granularities,Test whether r is the claimed sharing mechanism,Additive endpoints are not true pooling; the “merely meta-step” explanation was later refuted.,correction,g4m overturns one explanation without validating the original operator interpretation.,Separate algebraic endpoint failure from empirically rejected pure-ms explanation.,"[""ad"", ""zsw"", ""zsx"", ""g4m""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 74, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 598, ""section"": ""21""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]",Is M1's r actually a POOLING dial (the mechanism the whole hierarchical story rests on)?,34
MT075,6,Proposed fixes,Improve accuracy through true full pooling,zpool r=0 versus plain layerwise,Test the claimed full-pooling benefit directly,True full pooling reduces accuracy by about three points.,fail,"The earlier positive endpoint was an additive arm, not true pooling.","Use within-zsw endpoint contrast or explicit pooled controls, never mix their effect estimates.","[""zsw"", ""zsx""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 75, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 598, ""section"": ""21""}]","Does FULL pooling help (+1.39 pp), as carried in the handoff doc?",34
MT076,6,Proposed fixes,Establish a competitive tuned pooling method,Additive and plain controls with meta-step tuning,Check whether another hyperparameter buys accuracy,Older partial tuning favored plain; g4m later preserves a local additive advantage.,mixed,The original broad domination claim did not test the joint sweep.,No conclusion of universal pooling dominance; neither local result clears tuned non-meta baseline.,"[""ms"", ""ac"", ""g4m""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 76, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 692, ""section"": ""24""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]","Even taking the curve at face value, is pooling worth doing?",34
MT077,6,Proposed fixes,Preserve the additive optimum at proper initialization,Additive r curves at alpha0=1e-6 and 1e-3,Test dependence on slow initial learning,Most interior gain disappears; the whole curve does not become flat.,fail,The remaining local improvement misses the stated materiality threshold.,ac plus exactly matched earlier controls; multiple batch families; r=1 still substantially lower.,"[""ac""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 77, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}]",Does the M1 interior optimum survive a non-crippled initialisation?,35
MT078,6,Proposed fixes,Transfer the additive optimum,"r curves across architecture, dataset, and initialization",Test whether the local optimum supports a general method,R10/R34 small-alpha0 optima exist; C100 fails; R50 follow-up remains unresolved.,mixed,Transfer is conditional; the old “nowhere” claim is false.,R34 a0=1e-3 still lacks a full curve; a2g3 36 runs completed.,"[""r10"", ""r10b"", ""r10c"", ""r34r"", ""r34f"", ""rc100"", ""a2g3""]","[{""path"": ""repository/docs/MASTER-TABLE.md"", ""line"": 78, ""section"": null}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 6693, ""section"": ""115""}, {""path"": ""repository/docs/CORRECTIONS.md"", ""line"": 10378, ""section"": ""141""}]",Does the M1 optimum transfer to another architecture or dataset?,35
